team_location,season,Cluster
Abilene Christian,2017,0
Abilene Christian,2018,1
Abilene Christian,2019,0
Abilene Christian,2020,1
Abilene Christian,2021,1
Abilene Christian,2022,1
Air Force,2017,0
Air Force,2018,2
Air Force,2019,2
Air Force,2020,0
Air Force,2021,2
Air Force,2022,2
Akron,2017,0
Akron,2018,0
Akron,2019,2
Akron,2020,0
Akron,2021,0
Akron,2022,0
Alabama,2017,2
Alabama,2018,1
Alabama,2019,1
Alabama,2020,0
Alabama,2021,1
Alabama,2022,1
Alabama A&M,2017,2
Alabama A&M,2018,2
Alabama A&M,2019,2
Alabama A&M,2020,2
Alabama A&M,2021,2
Alabama A&M,2022,2
Alabama State,2017,2
Alabama State,2018,2
Alabama State,2019,2
Alabama State,2020,2
Alabama State,2021,2
Alabama State,2022,2
Albany,2017,1
Albany,2018,1
Albany,2019,2
Albany,2020,2
Albany,2021,2
Albany,2022,2
Alcorn State,2017,1
Alcorn State,2018,2
Alcorn State,2019,2
Alcorn State,2020,1
Alcorn State,2021,2
Alcorn State,2022,2
American University,2017,2
American University,2018,2
American University,2019,0
American University,2020,1
American University,2022,2
Appalachian State,2017,1
Appalachian State,2018,1
Appalachian State,2019,0
Appalachian State,2020,2
Appalachian State,2021,2
Appalachian State,2022,2
Arizona,2017,0
Arizona,2018,0
Arizona,2019,2
Arizona,2020,1
Arizona,2021,1
Arizona,2022,0
Arizona State,2017,0
Arizona State,2018,0
Arizona State,2019,1
Arizona State,2020,1
Arizona State,2021,1
Arizona State,2022,2
Arkansas,2017,1
Arkansas,2018,1
Arkansas,2019,1
Arkansas,2020,1
Arkansas,2021,1
Arkansas,2022,1
Arkansas State,2017,1
Arkansas State,2018,1
Arkansas State,2019,1
Arkansas State,2020,2
Arkansas State,2021,1
Arkansas State,2022,1
Arkansas-Pine Bluff,2017,2
Arkansas-Pine Bluff,2018,2
Arkansas-Pine Bluff,2019,2
Arkansas-Pine Bluff,2020,2
Arkansas-Pine Bluff,2021,2
Arkansas-Pine Bluff,2022,2
Army,2017,0
Army,2018,0
Army,2019,0
Army,2020,0
Army,2021,0
Army,2022,1
Auburn,2017,1
